"filename", "language", "XML", "JSON", "C#", "UnityShader", "comment", "blank", "total"
"c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assembly-CSharp-Editor.csproj", "XML", 1397, 0, 0, 0, 1, 1, 1399
"c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assembly-CSharp.csproj", "XML", 1396, 0, 0, 0, 1, 1, 1398
"c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01.cs", "C#", 0, 0, 63, 0, 29, 37, 129
"c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01_UGUI.cs", "C#", 0, 0, 59, 0, 37, 40, 136
"c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark02.cs", "C#", 0, 0, 65, 0, 6, 27, 98
"c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark03.cs", "C#", 0, 0, 73, 0, 1, 19, 93
"c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark04.cs", "C#", 0, 0, 41, 0, 26, 19, 86
"c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\CameraController.cs", "C#", 0, 0, 198, 0, 25, 69, 292
"c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\ChatController.cs", "C#", 0, 0, 31, 0, 5, 16, 52
"c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\DropdownSample.cs", "C#", 0, 0, 15, 0, 0, 5, 20
"c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\EnvMapAnimator.cs", "C#", 0, 0, 23, 0, 4, 9, 36
