Date : 2026-01-19 12:42:26
Directory : c:\Users\malon\Downloads\ECE500\homework1\homework1_unity
Total : 68 files,  9700 codes, 896 comments, 2040 blanks, all 12636 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C#          |         43 |      3,367 |        783 |      1,277 |      5,427 |
| UnityShader |         19 |      2,860 |        111 |        756 |      3,727 |
| XML         |          3 |      2,797 |          2 |          3 |      2,802 |
| JSON        |          3 |        676 |          0 |          4 |        680 |
+-------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                   |         68 |      9,700 |        896 |      2,040 |     12,636 |
| . (Files)                                                                                                                           |          3 |      2,797 |          2 |          3 |      2,802 |
| Assets                                                                                                                              |         63 |      6,382 |        894 |      2,035 |      9,311 |
| Assets\TextMesh Pro                                                                                                                 |         54 |      6,026 |        878 |      1,951 |      8,855 |
| Assets\TextMesh Pro\Examples & Extras                                                                                               |         34 |      3,011 |        767 |      1,193 |      4,971 |
| Assets\TextMesh Pro\Examples & Extras\Scripts                                                                                       |         34 |      3,011 |        767 |      1,193 |      4,971 |
| Assets\TextMesh Pro\Shaders                                                                                                         |         19 |      2,860 |        111 |        756 |      3,727 |
| Assets\TextMesh Pro\Sprites                                                                                                         |          1 |        155 |          0 |          2 |        157 |
| Assets\TutorialInfo                                                                                                                 |          2 |        209 |          1 |         50 |        260 |
| Assets\TutorialInfo\Scripts                                                                                                         |          2 |        209 |          1 |         50 |        260 |
| Assets\TutorialInfo\Scripts (Files)                                                                                                 |          1 |         14 |          0 |          3 |         17 |
| Assets\TutorialInfo\Scripts\Editor                                                                                                  |          1 |        195 |          1 |         47 |        243 |
| Assets\scripts                                                                                                                      |          7 |        147 |         15 |         34 |        196 |
| Packages                                                                                                                            |          2 |        521 |          0 |          2 |        523 |
+-------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                                                            | language    | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assembly-CSharp-Editor.csproj                                             | XML         |      1,397 |          1 |          1 |      1,399 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assembly-CSharp.csproj                                                    | XML         |      1,396 |          1 |          1 |      1,398 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01.cs              | C#          |         63 |         29 |         37 |        129 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01_UGUI.cs         | C#          |         59 |         37 |         40 |        136 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark02.cs              | C#          |         65 |          6 |         27 |         98 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark03.cs              | C#          |         73 |          1 |         19 |         93 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark04.cs              | C#          |         41 |         26 |         19 |         86 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\CameraController.cs         | C#          |        198 |         25 |         69 |        292 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\ChatController.cs           | C#          |         31 |          5 |         16 |         52 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\DropdownSample.cs           | C#          |         15 |          0 |          5 |         20 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\EnvMapAnimator.cs           | C#          |         23 |          4 |          9 |         36 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\ObjectSpin.cs               | C#          |         50 |          4 |         13 |         67 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\ShaderPropAnimator.cs       | C#          |         33 |          5 |         14 |         52 |
| c:\Users\malon\Downloads\ECE500\homework1\homework1_unity\Assets\TextMesh Pro\Examples & Extras\Scripts\SimpleScript.cs             | C#          |         24 |         15 |         20 |         59 |
