LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2026-04-01 14:38:45,1900-01-00 00:00:00,,B8:27:EB:6F:ED:ED,-36, ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:46,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-41, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:46,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-37, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:46,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-35, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:46,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-34, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:46,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-34, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:46,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-34, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:46,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-35, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:46,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-36, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:46,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-35, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:46,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-40, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-40, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-38, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-41, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-36, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-36, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-36, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-35, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-35, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-35, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-35, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-35, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-35, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-35, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-36, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-36, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-36, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-36, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-37, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:47,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-40, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-37, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-37, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-37, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-44, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-44, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-44, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-44, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-44, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-40, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-38, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-38, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-38, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-38, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-38, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-38, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-38, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-38, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-38, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-40, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-40, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-38, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-38, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-38, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-01 14:38:48,1900-01-00 00:00:00,0999-wombat,B8:27:EB:6F:ED:ED,-39, WPA ,0.000000,0.000000,0.000,0.000,AP
