
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
B8:27:EB:A2:CD:A4, 2026-04-01 14:38:31, 2026-04-01 14:38:41,  6,  54, WPA, TKIP, PSK, -45,       11,        1,   0.  0.  0.  0,  11, 1032-wombat, 
B8:27:EB:AE:E1:5D, 2026-04-01 14:38:34, 2026-04-01 14:38:41,  6,  54, WPA, TKIP, PSK, -62,        9,        6,   0.  0.  0.  0,  11, 1029-wombat, 
B8:27:EB:6F:ED:ED, 2026-04-01 14:38:34, 2026-04-01 14:38:44,  6,  54, WPA, TKIP, PSK, -37,       11,        0,   0.  0.  0.  0,  11, 0999-wombat, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
86:8C:C1:EE:83:C1, 2026-04-01 14:38:31, 2026-04-01 14:38:31, -54,        9, D0:D3:E0:ED:C6:90,
2E:90:43:3C:A2:BA, 2026-04-01 14:38:32, 2026-04-01 14:38:32, -73,        1, (not associated) ,
A6:EF:A8:FC:F9:A8, 2026-04-01 14:38:32, 2026-04-01 14:38:32, -73,        1, (not associated) ,
96:00:B3:97:FE:75, 2026-04-01 14:38:33, 2026-04-01 14:38:33, -55,        2, (not associated) ,ulsecure
42:E1:27:3F:BA:1E, 2026-04-01 14:38:33, 2026-04-01 14:38:33, -65,        2, (not associated) ,
B2:2A:00:C4:A7:C5, 2026-04-01 14:38:33, 2026-04-01 14:38:33, -80,        2, (not associated) ,
EA:F2:86:9D:43:CE, 2026-04-01 14:38:33, 2026-04-01 14:38:33, -19,        3, (not associated) ,3c:90:66:85:d8:6a
68:7A:64:0B:D3:21, 2026-04-01 14:38:34, 2026-04-01 14:38:41, -66,       13, B8:27:EB:AE:E1:5D,
4A:EE:A4:5E:BF:84, 2026-04-01 14:38:34, 2026-04-01 14:38:41, -63,        5, 00:25:00:FF:94:73,
BC:F1:05:AA:C1:2F, 2026-04-01 14:38:34, 2026-04-01 14:38:41, -46,        3, B8:27:EB:A2:CD:A4,
62:AD:F0:7B:AB:78, 2026-04-01 14:38:34, 2026-04-01 14:38:34, -82,        2, (not associated) ,
62:63:85:05:93:F0, 2026-04-01 14:38:35, 2026-04-01 14:38:35, -83,        1, (not associated) ,
56:4C:E2:F2:F8:91, 2026-04-01 14:38:37, 2026-04-01 14:38:37, -56,        1, (not associated) ,
7C:FA:80:F3:A3:68, 2026-04-01 14:38:37, 2026-04-01 14:38:41,  -1,        8, D0:D3:E0:60:40:21,
BA:4F:8C:AE:BD:79, 2026-04-01 14:38:38, 2026-04-01 14:38:38, -65,        1, (not associated) ,
4C:FC:AA:8C:EF:F3, 2026-04-01 14:38:44, 2026-04-01 14:38:44, -83,        1, (not associated) ,

