
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
B8:27:EB:A2:CD:A4, 2026-04-01 14:46:03, 2026-04-01 14:46:13,  6,  54, WPA, TKIP, PSK, -41,       12,        5,   0.  0.  0.  0,  11, 1032-wombat, 
B8:27:EB:6F:ED:ED, 2026-04-01 14:46:03, 2026-04-01 14:46:13,  6,  54, WPA, TKIP, PSK, -40,       15,        0,   0.  0.  0.  0,  11, 0999-wombat, 
B8:27:EB:AE:E1:5D, 2026-04-01 14:46:05, 2026-04-01 14:46:16,  6,  54, WPA, TKIP, PSK, -53,       10,        1,   0.  0.  0.  0,  11, 1029-wombat, 
B8:27:EB:7C:81:10, 2026-04-01 14:46:06, 2026-04-01 14:46:13,  6,  54, WPA, TKIP, PSK, -60,        9,       35,   0.  0.  0.  0,  11, 1019-wombat, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
AE:CC:2D:CE:CD:3F, 2026-04-01 14:46:02, 2026-04-01 14:46:02, -79,        2, (not associated) ,
EC:2E:98:07:52:4D, 2026-04-01 14:46:03, 2026-04-01 14:46:04, -83,        7, (not associated) ,
06:BF:F1:8D:B5:93, 2026-04-01 14:46:05, 2026-04-01 14:46:05, -90,        1, (not associated) ,
4C:D5:77:6C:7F:97, 2026-04-01 14:46:05, 2026-04-01 14:46:16, -78,        7, D0:D3:E0:ED:A5:60,
BC:F1:05:AA:C1:2F, 2026-04-01 14:46:06, 2026-04-01 14:46:09, -46,        7, B8:27:EB:A2:CD:A4,
4A:EE:A4:5E:BF:84, 2026-04-01 14:46:06, 2026-04-01 14:46:13, -66,        7, 00:25:00:FF:94:73,
62:AD:F0:7B:AB:78, 2026-04-01 14:46:07, 2026-04-01 14:46:07, -80,        2, (not associated) ,
9A:30:05:A7:91:79, 2026-04-01 14:46:09, 2026-04-01 14:46:09, -69,        1, (not associated) ,eduroam
C4:CB:76:AF:5C:A8, 2026-04-01 14:46:09, 2026-04-01 14:46:13, -61,       51, B8:27:EB:7C:81:10,
66:8B:F4:BD:FE:EF, 2026-04-01 14:46:09, 2026-04-01 14:46:09, -70,        1, (not associated) ,eduroam
AE:44:40:01:F2:E7, 2026-04-01 14:46:09, 2026-04-01 14:46:09, -70,        1, (not associated) ,
C6:96:AA:40:4B:52, 2026-04-01 14:46:09, 2026-04-01 14:46:09, -71,        1, (not associated) ,eduroam
96:F1:AB:D4:46:44, 2026-04-01 14:46:09, 2026-04-01 14:46:09, -71,        1, (not associated) ,
72:AE:DB:7F:E0:63, 2026-04-01 14:46:11, 2026-04-01 14:46:11, -57,        2, (not associated) ,
0E:24:84:93:74:E8, 2026-04-01 14:46:11, 2026-04-01 14:46:11, -84,        1, (not associated) ,ulsecure
8A:61:75:E5:12:8C, 2026-04-01 14:46:13, 2026-04-01 14:46:14, -80,       19, 6C:C4:9F:C6:D6:20,eduroam
32:D3:19:83:4E:93, 2026-04-01 14:46:14, 2026-04-01 14:46:14, -89,        1, (not associated) ,ulsecure
52:EB:A1:A1:14:F8, 2026-04-01 14:46:14, 2026-04-01 14:46:14, -61,        1, (not associated) ,AvatarControlWifi
CE:08:B3:C6:19:2E, 2026-04-01 14:46:16, 2026-04-01 14:46:16, -88,        1, (not associated) ,eduroam

