
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
B8:27:EB:6F:ED:ED, 2026-04-01 14:54:24, 2026-04-01 14:54:37,  6,  54, WPA, TKIP, PSK, -39,       17,        0,   0.  0.  0.  0,  11, 0999-wombat, 
B8:27:EB:7C:81:10, 2026-04-01 14:54:24, 2026-04-01 14:54:37,  6,  54, WPA, TKIP, PSK, -52,       11,        0,   0.  0.  0.  0,  11, 1019-wombat, 
B8:27:EB:AE:E1:5D, 2026-04-01 14:54:27, 2026-04-01 14:54:35,  6,  54, WPA, TKIP, PSK, -64,       13,        3,   0.  0.  0.  0,  11, 1029-wombat, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
3A:AB:EA:FC:79:87, 2026-04-01 14:54:24, 2026-04-01 14:54:24, -60,        1, (not associated) ,AvatarControlWifi
7C:A1:AE:7E:FA:3F, 2026-04-01 14:54:24, 2026-04-01 14:54:34, -85,        4, (not associated) ,ulvisitor
D4:D8:53:5B:2E:0D, 2026-04-01 14:54:24, 2026-04-01 14:54:26, -80,       10, D0:D3:E0:ED:AA:03,ulvisitor
4C:D5:77:6C:7F:97, 2026-04-01 14:54:26, 2026-04-01 14:54:37, -79,       16, D0:D3:E0:ED:A5:60,
36:5F:DE:ED:1B:D2, 2026-04-01 14:54:26, 2026-04-01 14:54:26, -83,        1, (not associated) ,
4A:EE:A4:5E:BF:84, 2026-04-01 14:54:27, 2026-04-01 14:54:34, -62,        4, 00:25:00:FF:94:73,
76:5B:44:90:29:A6, 2026-04-01 14:54:27, 2026-04-01 14:54:27, -31,        1, (not associated) ,
24:EC:99:6D:F1:6C, 2026-04-01 14:54:28, 2026-04-01 14:54:29, -50,        3, (not associated) ,
EA:25:DB:20:AB:ED, 2026-04-01 14:54:29, 2026-04-01 14:54:29, -86,        2, (not associated) ,ulvisitor
68:7A:64:0B:D3:21, 2026-04-01 14:54:29, 2026-04-01 14:54:34, -70,        7, B8:27:EB:AE:E1:5D,
58:6D:67:64:C3:91, 2026-04-01 14:54:29, 2026-04-01 14:54:29, -63,        2, (not associated) ,
9C:B1:50:92:A0:5E, 2026-04-01 14:54:29, 2026-04-01 14:54:29, -77,        1, (not associated) ,
62:D4:C8:42:72:8E, 2026-04-01 14:54:30, 2026-04-01 14:54:30, -59,        1, (not associated) ,AvatarControlWifi
76:68:27:64:6D:20, 2026-04-01 14:54:30, 2026-04-01 14:54:30, -60,        1, (not associated) ,AvatarControlWifi
DA:B6:92:A2:CB:96, 2026-04-01 14:54:30, 2026-04-01 14:54:30, -59,        1, (not associated) ,AvatarControlWifi
2A:32:48:A4:43:03, 2026-04-01 14:54:30, 2026-04-01 14:54:30, -59,        1, (not associated) ,AvatarControlWifi
10:91:D1:9C:A7:AC, 2026-04-01 14:54:30, 2026-04-01 14:54:34, -84,        7, D0:D3:E0:ED:AA:01,ulsecure
22:39:61:68:65:14, 2026-04-01 14:54:30, 2026-04-01 14:54:30, -61,        1, (not associated) ,AvatarControlWifi
EE:5B:30:97:B3:BD, 2026-04-01 14:54:30, 2026-04-01 14:54:30, -62,        1, (not associated) ,AvatarControlWifi
CC:5E:F8:46:91:59, 2026-04-01 14:54:30, 2026-04-01 14:54:34, -84,        7, D0:D3:E0:5A:4D:A1,ulsecure
7A:01:DA:58:6C:8E, 2026-04-01 14:54:30, 2026-04-01 14:54:30, -86,        1, (not associated) ,
6E:3F:71:79:C5:C6, 2026-04-01 14:54:30, 2026-04-01 14:54:30, -70,        1, (not associated) ,ulsecure
C2:1F:3E:2F:08:EE, 2026-04-01 14:54:31, 2026-04-01 14:54:35, -68,        3, (not associated) ,eduroam
6E:EC:AC:2A:FA:73, 2026-04-01 14:54:31, 2026-04-01 14:54:31, -87,        8, D0:D3:E0:60:05:81,
7E:40:61:4A:9D:74, 2026-04-01 14:54:34, 2026-04-01 14:54:34, -80,        2, (not associated) ,ulsecure
2E:20:3E:AF:D1:9F, 2026-04-01 14:54:34, 2026-04-01 14:54:34, -89,        1, (not associated) ,
AA:39:1D:8B:E5:8D, 2026-04-01 14:54:35, 2026-04-01 14:54:35, -81,        1, (not associated) ,
F2:65:A2:66:8D:D5, 2026-04-01 14:54:35, 2026-04-01 14:54:35, -54,        1, (not associated) ,1029-wombat
F6:A8:89:8A:BF:D4, 2026-04-01 14:54:35, 2026-04-01 14:54:35, -55,        1, (not associated) ,AvatarControlWifi
AA:5E:D0:70:BB:4A, 2026-04-01 14:54:35, 2026-04-01 14:54:35, -56,        1, (not associated) ,
E0:C2:64:24:B2:9C, 2026-04-01 14:54:36, 2026-04-01 14:54:36, -77,        1, (not associated) ,ulsecure
CE:A7:21:D2:6B:2B, 2026-04-01 14:54:37, 2026-04-01 14:54:37, -76,        4, (not associated) ,TMobileWingman
3E:36:38:E3:40:B1, 2026-04-01 14:54:37, 2026-04-01 14:54:37, -86,        1, D0:D3:E0:ED:A5:61,

