
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D0:D3:E0:ED:C6:80, 2026-04-08 14:01:11, 2026-04-08 14:01:18,  1, 130, WPA2, CCMP, MGT, -48,        7,        1,   0.  0.  0.  0,   7, eduroam, 
D0:D3:E0:ED:C6:81, 2026-04-08 14:01:11, 2026-04-08 14:01:18,  1, 130, WPA2, CCMP, MGT, -48,        7,        0,   0.  0.  0.  0,   8, ulsecure, 
D0:D3:E0:ED:C6:82, 2026-04-08 14:01:11, 2026-04-08 14:01:18,  1, 130, OPN, ,   , -48,        7,        0,   0.  0.  0.  0,   9, ulsponsor, 
D0:D3:E0:ED:C6:83, 2026-04-08 14:01:11, 2026-04-08 14:01:18,  1, 130, OPN, ,   , -48,        7,        0,   0.  0.  0.  0,   9, ulvisitor, 
B8:27:EB:FF:C8:F5, 2026-04-08 14:01:11, 2026-04-08 14:01:18,  6,  54, WPA, TKIP, PSK, -45,        7,        0,   0.  0.  0.  0,  11, 0960-wombat, 
B8:27:EB:6F:ED:ED, 2026-04-08 14:01:11, 2026-04-08 14:01:19,  6,  54, WPA, TKIP, PSK, -27,       14,        2,   0.  0.  0.  0,  11, 0999-wombat, 
B8:27:EB:AE:E1:5D, 2026-04-08 14:01:11, 2026-04-08 14:01:18,  6,  54, WPA, TKIP, PSK, -56,        9,        0,   0.  0.  0.  0,  11, 1029-wombat, 
B8:27:EB:7C:81:10, 2026-04-08 14:01:14, 2026-04-08 14:01:18,  6,  54, WPA, TKIP, PSK, -53,        8,        0,   0.  0.  0.  0,  11, 1019-wombat, 
D0:D3:E0:ED:AA:00, 2026-04-08 14:01:14, 2026-04-08 14:01:18, 11, 130, WPA2, CCMP, MGT, -56,        6,        0,   0.  0.  0.  0,   7, eduroam, 
D0:D3:E0:ED:AA:01, 2026-04-08 14:01:14, 2026-04-08 14:01:18, 11, 130, WPA2, CCMP, MGT, -56,        5,        0,   0.  0.  0.  0,   8, ulsecure, 
D0:D3:E0:ED:AA:02, 2026-04-08 14:01:14, 2026-04-08 14:01:18, 11, 130, OPN, ,   , -56,        6,        0,   0.  0.  0.  0,   9, ulsponsor, 
AC:8B:A9:69:14:07, 2026-04-08 14:01:14, 2026-04-08 14:01:18, 11, 360, WPA2, CCMP, PSK, -57,        4,        0,   0.  0.  0.  0,  17, AvatarControlWifi, 
B2:8B:A9:69:14:07, 2026-04-08 14:01:14, 2026-04-08 14:01:18, 11, 360, WPA2, CCMP, PSK, -57,        4,        0,   0.  0.  0.  0,   0, , 
D0:D3:E0:ED:AA:03, 2026-04-08 14:01:14, 2026-04-08 14:01:18, 11, 130, OPN, ,   , -57,        5,        0,   0.  0.  0.  0,   9, ulvisitor, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
AE:09:77:26:DD:DE, 2026-04-08 14:01:13, 2026-04-08 14:01:16, -54,        6, (not associated) ,eduroam
C4:CB:76:AF:5C:A8, 2026-04-08 14:01:14, 2026-04-08 14:01:18, -49,        3, B8:27:EB:7C:81:10,
24:EC:99:6D:F1:6C, 2026-04-08 14:01:15, 2026-04-08 14:01:15,  -1,        1, D0:D3:E0:ED:C6:80,
DC:46:28:48:A5:08, 2026-04-08 14:01:18, 2026-04-08 14:01:18, -25,        2, B8:27:EB:6F:ED:ED,
5E:77:09:7D:3F:4E, 2026-04-08 14:01:21, 2026-04-08 14:01:21, -53,        1, (not associated) ,

