Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;eduroam;D0:D3:E0:ED:C6:80;;1;No;WPA2,AES-CCM;No;130.0;0;7;0;1;0;0;1;;;Wed Apr  8 14:01:11 2026;Wed Apr  8 14:01:18 2026;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;ulsecure;D0:D3:E0:ED:C6:81;;1;No;WPA2,AES-CCM;No;130.0;0;7;0;0;0;0;0;;;Wed Apr  8 14:01:11 2026;Wed Apr  8 14:01:18 2026;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;ulsponsor;D0:D3:E0:ED:C6:82;;1;No;OPN,None;No;130.0;0;7;0;0;0;0;0;;;Wed Apr  8 14:01:11 2026;Wed Apr  8 14:01:18 2026;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;ulvisitor;D0:D3:E0:ED:C6:83;;1;No;OPN,None;No;130.0;0;7;0;0;0;0;0;;;Wed Apr  8 14:01:11 2026;Wed Apr  8 14:01:18 2026;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;0960-wombat;B8:27:EB:FF:C8:F5;;6;No;WPA,TKIP;No;54.0;0;7;0;0;0;0;0;;;Wed Apr  8 14:01:11 2026;Wed Apr  8 14:01:18 2026;-45;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;0999-wombat;B8:27:EB:6F:ED:ED;;6;No;WPA,TKIP;No;54.0;0;14;0;2;0;0;2;;;Wed Apr  8 14:01:11 2026;Wed Apr  8 14:01:19 2026;-27;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;1029-wombat;B8:27:EB:AE:E1:5D;;6;No;WPA,TKIP;No;54.0;0;9;0;0;0;0;0;;;Wed Apr  8 14:01:11 2026;Wed Apr  8 14:01:18 2026;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;1019-wombat;B8:27:EB:7C:81:10;;6;No;WPA,TKIP;No;54.0;0;8;0;0;0;0;0;;;Wed Apr  8 14:01:14 2026;Wed Apr  8 14:01:18 2026;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;eduroam;D0:D3:E0:ED:AA:00;;11;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Wed Apr  8 14:01:14 2026;Wed Apr  8 14:01:18 2026;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;ulsecure;D0:D3:E0:ED:AA:01;;11;No;WPA2,AES-CCM;No;130.0;0;5;0;0;0;0;0;;;Wed Apr  8 14:01:14 2026;Wed Apr  8 14:01:18 2026;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;ulsponsor;D0:D3:E0:ED:AA:02;;11;No;OPN,None;No;130.0;0;6;0;0;0;0;0;;;Wed Apr  8 14:01:14 2026;Wed Apr  8 14:01:18 2026;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;AvatarControlWifi;AC:8B:A9:69:14:07;;11;No;WPA2,AES-CCM;No;360.0;0;4;0;0;0;0;0;;;Wed Apr  8 14:01:14 2026;Wed Apr  8 14:01:18 2026;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;;B2:8B:A9:69:14:07;;11;No;WPA2,AES-CCM;No;360.0;0;4;0;0;0;0;0;;;Wed Apr  8 14:01:14 2026;Wed Apr  8 14:01:18 2026;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;ulvisitor;D0:D3:E0:ED:AA:03;;11;No;OPN,None;No;130.0;0;5;0;0;0;0;0;;;Wed Apr  8 14:01:14 2026;Wed Apr  8 14:01:18 2026;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
