LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2026-04-08 14:19:26,1900-01-00 00:00:00,,B8:27:EB:FF:C8:F5,-42, ,0.000000,0.000000,0.000,0.000,AP
2026-04-08 14:19:26,1900-01-00 00:00:00,,B8:27:EB:AE:E1:5D,-46, ,0.000000,0.000000,0.000,0.000,AP
2026-04-08 14:19:26,1900-01-00 00:00:00,1029-wombat,B8:27:EB:AE:E1:5D,-46, WPA ,0.000000,0.000000,0.000,0.000,AP
2026-04-08 14:19:26,1900-01-00 00:00:00,,D0:D3:E0:ED:C6:80,-47, ,0.000000,0.000000,0.000,0.000,AP
2026-04-08 14:19:26,1900-01-00 00:00:00,,24:EC:99:6D:F1:6C,-46,,0.000000,0.000000,0.000,0.000,Client
2026-04-08 14:19:26,1900-01-00 00:00:00,,24:EC:99:6D:F1:6C,-46,,0.000000,0.000000,0.000,0.000,Client
2026-04-08 14:19:26,1900-01-00 00:00:00,,24:EC:99:6D:F1:6C,-46,,0.000000,0.000000,0.000,0.000,Client
2026-04-08 14:19:26,1900-01-00 00:00:00,,24:EC:99:6D:F1:6C,-44,,0.000000,0.000000,0.000,0.000,Client
2026-04-08 14:19:26,1900-01-00 00:00:00,,24:EC:99:6D:F1:6C,-45,,0.000000,0.000000,0.000,0.000,Client
2026-04-08 14:19:26,1900-01-00 00:00:00,,24:EC:99:6D:F1:6C,-46,,0.000000,0.000000,0.000,0.000,Client
2026-04-08 14:19:26,1900-01-00 00:00:00,,24:EC:99:6D:F1:6C,-45,,0.000000,0.000000,0.000,0.000,Client
2026-04-08 14:19:26,1900-01-00 00:00:00,,24:EC:99:6D:F1:6C,-46,,0.000000,0.000000,0.000,0.000,Client
2026-04-08 14:19:26,1900-01-00 00:00:00,,24:EC:99:6D:F1:6C,-46,,0.000000,0.000000,0.000,0.000,Client
2026-04-08 14:19:26,1900-01-00 00:00:00,,D0:D3:E0:ED:C6:81,-47, ,0.000000,0.000000,0.000,0.000,AP
2026-04-08 14:19:26,1900-01-00 00:00:00,,D0:D3:E0:ED:C6:82,-48, ,0.000000,0.000000,0.000,0.000,AP
2026-04-08 14:19:26,1900-01-00 00:00:00,,D0:D3:E0:ED:C6:83,-47, ,0.000000,0.000000,0.000,0.000,AP
2026-04-08 14:19:26,1900-01-00 00:00:00,,24:EC:99:6D:F1:6C,-46,,0.000000,0.000000,0.000,0.000,Client
2026-04-08 14:19:26,1900-01-00 00:00:00,eduroam,D0:D3:E0:ED:C6:80,-47, WPA2 ,0.000000,0.000000,0.000,0.000,AP
