
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
D0:D3:E0:ED:A5:00, 2026-04-03 14:07:31, 2026-04-03 14:07:38,  6, 130, WPA2, CCMP, MGT, -56,        4,        0,   0.  0.  0.  0,   7, eduroam, 
D0:D3:E0:ED:C6:80, 2026-04-03 14:07:31, 2026-04-03 14:07:35,  1, 130, WPA2, CCMP, MGT, -72,        4,        0,   0.  0.  0.  0,   7, eduroam, 
D0:D3:E0:ED:C6:82, 2026-04-03 14:07:31, 2026-04-03 14:07:35,  1, 130, OPN, ,   , -72,        3,        0,   0.  0.  0.  0,   9, ulsponsor, 
D0:D3:E0:ED:C6:83, 2026-04-03 14:07:31, 2026-04-03 14:07:35,  1, 130, OPN, ,   , -72,        4,        0,   0.  0.  0.  0,   9, ulvisitor, 
D0:D3:E0:ED:C6:81, 2026-04-03 14:07:31, 2026-04-03 14:07:35,  1, 130, WPA2, CCMP, MGT, -71,        3,        0,   0.  0.  0.  0,   8, ulsecure, 
D0:D3:E0:ED:C2:00, 2026-04-03 14:07:34, 2026-04-03 14:07:38,  6, 130, WPA2, CCMP, MGT, -43,        6,        0,   0.  0.  0.  0,   7, eduroam, 
D0:D3:E0:ED:C2:01, 2026-04-03 14:07:34, 2026-04-03 14:07:38,  6, 130, WPA2, CCMP, MGT, -44,        6,        0,   0.  0.  0.  0,   8, ulsecure, 
D0:D3:E0:ED:C2:02, 2026-04-03 14:07:34, 2026-04-03 14:07:38,  6, 130, OPN, ,   , -44,        6,        0,   0.  0.  0.  0,   9, ulsponsor, 
D0:D3:E0:ED:C2:03, 2026-04-03 14:07:34, 2026-04-03 14:07:38,  6, 130, OPN, ,   , -43,        6,        0,   0.  0.  0.  0,   9, ulvisitor, 
00:25:00:FF:94:73, 2026-04-03 14:07:34, 2026-04-03 14:07:38, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
B8:27:EB:7C:81:10, 2026-04-03 14:07:34, 2026-04-03 14:07:35,  6,  54, WPA, TKIP, PSK, -77,        2,        0,   0.  0.  0.  0,  11, 1019-wombat, 
B8:27:EB:CA:A1:3C, 2026-04-03 14:07:34, 2026-04-03 14:07:37,  6,  54, WPA, TKIP, PSK, -64,        1,        3,   0.  0.  0.  0,  11, 1008-wombat, 
B8:27:EB:7E:52:7B, 2026-04-03 14:07:34, 2026-04-03 14:07:35,  6,  54, WPA, TKIP, PSK, -74,        2,        0,   0.  0.  0.  0,  11, 1007-wombat, 
D0:D3:E0:ED:A5:01, 2026-04-03 14:07:34, 2026-04-03 14:07:38,  6, 130, WPA2, CCMP, MGT, -57,        2,        0,   0.  0.  0.  0,   8, ulsecure, 
D0:D3:E0:ED:A5:02, 2026-04-03 14:07:34, 2026-04-03 14:07:38,  6, 130, OPN, ,   , -56,        2,        0,   0.  0.  0.  0,   9, ulsponsor, 
50:D4:F7:14:76:C7, 2026-04-03 14:07:34, 2026-04-03 14:07:37,  6, 270, WPA2, CCMP, PSK, -63,        3,        0,   0.  0.  0.  0,  12, TP-Link_76C7, 
B8:27:EB:FF:C8:F5, 2026-04-03 14:07:34, 2026-04-03 14:07:38,  6,  54, WPA, TKIP, PSK, -58,        6,        0,   0.  0.  0.  0,  11, 0960-wombat, 
AC:8B:A9:69:14:07, 2026-04-03 14:07:37, 2026-04-03 14:07:37, 11, 360, WPA2, CCMP, PSK, -64,        2,        0,   0.  0.  0.  0,  17, AvatarControlWifi, 
D0:D3:E0:ED:A5:03, 2026-04-03 14:07:38, 2026-04-03 14:07:38,  6, 130, OPN, ,   , -55,        1,        0,   0.  0.  0.  0,   9, ulvisitor, 
94:A6:7E:61:14:04, 2026-04-03 14:07:39, 2026-04-03 14:07:39,  8, 130, WPA2, CCMP, PSK, -60,        2,        1,   0.  0.  0.  0,   9, NETGEAR39, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
2A:EC:E0:82:0B:D5, 2026-04-03 14:07:34, 2026-04-03 14:07:38, -51,        4, 00:25:00:FF:94:73,
52:00:CC:99:EA:42, 2026-04-03 14:07:38, 2026-04-03 14:07:38, -59,        1, (not associated) ,AvatarControlWifi
B2:DA:9E:38:B7:EB, 2026-04-03 14:07:38, 2026-04-03 14:07:38, -59,        1, (not associated) ,AvatarControlWifi

