Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;eduroam;D0:D3:E0:ED:A5:00;;6;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Fri Apr  3 14:18:42 2026;Fri Apr  3 14:18:49 2026;-52;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;ulsecure;D0:D3:E0:ED:A5:01;;6;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Fri Apr  3 14:18:42 2026;Fri Apr  3 14:18:49 2026;-52;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;ulsponsor;D0:D3:E0:ED:A5:02;;6;No;OPN,None;No;130.0;0;6;0;0;0;0;0;;;Fri Apr  3 14:18:42 2026;Fri Apr  3 14:18:49 2026;-52;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;ulvisitor;D0:D3:E0:ED:A5:03;;6;No;OPN,None;No;130.0;0;6;0;0;0;0;0;;;Fri Apr  3 14:18:42 2026;Fri Apr  3 14:18:49 2026;-53;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;;00:25:00:FF:94:73;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Apr  3 14:18:42 2026;Fri Apr  3 14:18:49 2026;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;TP-Link_76C7;50:D4:F7:14:76:C7;;6;No;WPA2,AES-CCM;No;270.0;0;9;0;0;0;0;0;;;Fri Apr  3 14:18:42 2026;Fri Apr  3 14:18:49 2026;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;0960-wombat;B8:27:EB:FF:C8:F5;;6;No;WPA,TKIP;No;54.0;0;4;0;0;0;0;0;;;Fri Apr  3 14:18:42 2026;Fri Apr  3 14:18:49 2026;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;eduroam;D0:D3:E0:ED:C2:00;;6;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Fri Apr  3 14:18:42 2026;Fri Apr  3 14:18:49 2026;-39;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;ulsecure;D0:D3:E0:ED:C2:01;;6;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Fri Apr  3 14:18:42 2026;Fri Apr  3 14:18:49 2026;-39;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;ulsponsor;D0:D3:E0:ED:C2:02;;6;No;OPN,None;No;130.0;0;6;0;0;0;0;0;;;Fri Apr  3 14:18:42 2026;Fri Apr  3 14:18:49 2026;-39;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
